#CODE;ENGLISH;;;;;;;;;;;;;x
##### Decisions ;;;;;;;;;;;;;x;
prepare_titan_thysia;You begin preparations for the Thysia.;;;;;;;;;;;;;x
titan_thysia_begins;The priest readies his sickle...;;;;;;;;;;;;;x
titan.0.desc;You have sent out summons to all of your vassals for the Great Thysia. Those that have been baptized, profess to follow the teachings of the Prophet, or follow the ways of Prometheus will have to offer gold to be exempted from this magnificent feast.;;;;;;;;;;;;;x
titan.0.a;I can hardly wait!;;;;;;;;;;;;;x
titan.1.tt;Summoned to Thysia.;;;;;;;;;;;;;x
titan.2.tt;Exempted from Thysia.;;;;;;;;;;;;;x
titan.1.desc;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a Thysia. There you will worship and give sacrifice to the titans before taking part in a great feast where you drink to their name.;;;;;;;;;;;;;x
titan.1.a;I wouldn't miss it.;;;;;;;;;;;;;x
titan.2.desc;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a Great Thysia where [From.GetSheHe] intends to give sacrifice to the Titans. Since you do not practise their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;;;;;;;;;;;;;x
titan.2.a;I suppose I have no choice in the matter.;;;;;;;;;;;;;x
titan.2.b;As [This.Religion.GetRandomGodNameCap] is my witness, I shan't pay!;;;;;;;;;;;;;x
titan.3.tt;Your payment is received.;;;;;;;;;;;;;x
titan.3.desc;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the Thysia.;;;;;;;;;;;;;x
titan.3.a;As well [From.GetSheHe] should.;;;;;;;;;;;;;x
titan.36.tt;Your refusal to pay is received.;;;;;;;;;;;;;x
titan.36.desc;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the Thysia! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a heathen festival.;;;;;;;;;;;;;x
titan.36.a;This insult will not be forgotten.;;;;;;;;;;;;;x
titan.4.desc;The guests have arrived, and the time has come for the Thysia to begin! You gather outside the temple, and start by offering animals as sacrifice to the titans. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Kronos, Tethys, Hyperion, and the other titans, as well as on the worshippers themselves.;;;;;;;;;;;;;x
titan.4.a;Now for the human sacrifice...;;;;;;;;;;;;;x
titan.5.desc;The time has come for the Thysia held by [From.GetTitledFirstName] to begin! You gather outside the temple, and start by offering animals as sacrifice to the titans. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Kronos, Tethys, Hyperion and the other titans, as well as on the worshippers themselves.;;;;;;;;;;;;;x
titan.6.desc;Although you have been told little, the noise from outside your dungeon is enough to make it clear that your captor, [Root.Host.GetTitledFirstName] is holding a thysia where [Root.Host.GetSheHe] will offer sacrifice in worship of the titans. Guards burst inside your cell and drag you away to the gallows outside the local temple... ;;;;;;;;;;;;;x
titan.6.a;No! Not like this!;;;;;;;;;;;;;x
titan.10.desc;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. [From.GetSheHe] is chained to the great stone altar. A small yellow pool forms between [From.GetFirstName]'s legs.;;;;;;;;;;;;;x
titan.10.a;Great Kronos, we offer you this sacrifice...;;;;;;;;;;;;;x
titan.10.b;No, I have changed my mind.;;;;;;;;;;;;;x
titan.11.desc;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. As [From.GetFirstName] is chained to the great stone altar, [From.GetSheHe] steadies [From.GetHerselfHimself] and murmurs several passages that you recognize as being from the Christian holy book.;;;;;;;;;;;;;x
titan.11.a;Where is your Blessed Virgin now, [From.GetFirstName]?;;;;;;;;;;;;;x
titan.11.b;No, perhaps this is a bad idea...;;;;;;;;;;;;;x
titan.12.desc;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. Your guards place [From.GetHerHim] on the alter and begin fastening the chains while [From.GetSheHe] murmurs a passage with closed eyes from the Mohammedan holy book.;;;;;;;;;;;;;x
titan.12.a;Soon you shall meet your Prophet, friend.;;;;;;;;;;;;;x
